order,DOI,Publication_link,Autours,Title
0.0,10.1016/j.neuroscience.2007.02.033,https://pubmed.ncbi.nlm.nih.gov/17395383/,Cappe et al.,Thalamocortical and the dual pattern of corticothalamic projections of the posterior parietal cortex in macaque monkeys
1.0,10.1016/j.neuroscience.2007.02.033,https://pubmed.ncbi.nlm.nih.gov/17395383/,Cappe et al.,Thalamocortical and the dual pattern of corticothalamic projections of the posterior parietal cortex in macaque monkeys
2.0,10.1016/j.neuroscience.2007.02.033,https://pubmed.ncbi.nlm.nih.gov/17395383/,Cappe et al.,Thalamocortical and the dual pattern of corticothalamic projections of the posterior parietal cortex in macaque monkeys
3.0,10.1016/j.neuroscience.2007.02.033,https://pubmed.ncbi.nlm.nih.gov/17395383/,Cappe et al.,Thalamocortical and the dual pattern of corticothalamic projections of the posterior parietal cortex in macaque monkeys
4.0,10.1016/j.neuroscience.2007.02.033,https://pubmed.ncbi.nlm.nih.gov/17395383/,Cappe et al.,Thalamocortical and the dual pattern of corticothalamic projections of the posterior parietal cortex in macaque monkeys
5.0,10.1016/j.neuroscience.2007.02.033,https://pubmed.ncbi.nlm.nih.gov/17395383/,Cappe et al.,Thalamocortical and the dual pattern of corticothalamic projections of the posterior parietal cortex in macaque monkeys
6.0,10.1016/j.neuroscience.2007.02.033,https://pubmed.ncbi.nlm.nih.gov/17395383/,Cappe et al.,Thalamocortical and the dual pattern of corticothalamic projections of the posterior parietal cortex in macaque monkeys
7.0,10.1016/j.neuroscience.2007.02.033,https://pubmed.ncbi.nlm.nih.gov/17395383/,Cappe et al.,Thalamocortical and the dual pattern of corticothalamic projections of the posterior parietal cortex in macaque monkeys
8.0,10.1016/j.neuroscience.2007.02.033,https://pubmed.ncbi.nlm.nih.gov/17395383/,Cappe et al.,Thalamocortical and the dual pattern of corticothalamic projections of the posterior parietal cortex in macaque monkeys
9.0,10.1016/j.neuroscience.2007.02.033,https://pubmed.ncbi.nlm.nih.gov/17395383/,Cappe et al.,Thalamocortical and the dual pattern of corticothalamic projections of the posterior parietal cortex in macaque monkeys
